GO:0000001	mitochondrion inheritance	线粒体遗传
GO:0043066	negative regulation of apoptotic process	凋亡过程的负调控
GO:0043067	regulation of programmed cell death	程序性细胞死亡的调控
GO:0043068	positive regulation of programmed cell death	程序性细胞死亡的正调控
GO:0043069	negative regulation of programmed cell death	程序性细胞死亡的负调控
GO:0043073	germ cell nucleus	生殖细胞核
GO:0043076	megasporocyte nucleus	大孢子母细胞核
GO:0043078	polar nucleus	极核
GO:0043079	antipodal cell nucleus	反足细胞核
GO:0043082	megagametophyte egg cell nucleus	大配子体卵细胞核
GO:0043083	synaptic cleft	突触间隙
GO:0043084	penile erection	阴茎勃起
GO:0043085	positive regulation of catalytic activity	催化活性的正调控
GO:0043086	negative regulation of catalytic activity	催化活性的负调控
GO:0043087	regulation of GTPase activity	GTP酶活性的调控
GO:0043090	amino acid import	氨基酸输入
GO:0043093	FtsZ-dependent cytokinesis	FtsZ依赖的胞质分裂
GO:0043094	metabolic compound salvage	代谢化合物的补救合成
GO:0043096	purine nucleobase salvage	嘌呤核碱基补救合成
GO:0043097	pyrimidine nucleoside salvage	嘧啶核苷补救合成
GO:0043098	purine deoxyribonucleoside salvage	嘌呤脱氧核糖核苷补救合成
GO:0043099	pyrimidine deoxyribonucleoside salvage	嘧啶脱氧核糖核苷补救合成
GO:0043100	pyrimidine nucleobase salvage	嘧啶核碱基补救合成
GO:0043101	purine-containing compound salvage	含嘌呤化合物的补救合成
GO:0043102	amino acid salvage	氨基酸补救合成
GO:0043103	hypoxanthine salvage	次黄嘌呤补救合成
GO:0043107	type IV pilus-dependent motility	IV型菌毛依赖的运动性
GO:0043108	pilus retraction	菌毛回缩
GO:0043110	rDNA spacer replication fork barrier binding	rDNA间隔区复制叉屏障结合
GO:0043111	replication fork arrest	复制叉阻滞
GO:0043112	receptor metabolic process	受体代谢过程
GO:0043113	receptor clustering	受体聚集
GO:0043114	regulation of vascular permeability	血管通透性的调控
GO:0043115	precorrin-2 dehydrogenase activity	前咕啉-2脱氢酶活性
GO:0043116	negative regulation of vascular permeability	血管通透性的负调控
GO:0043117	positive regulation of vascular permeability	血管通透性的正调控
GO:0043120	tumor necrosis factor binding	肿瘤坏死因子结合
GO:0043121	neurotrophin binding	神经营养因子结合
GO:0043122	regulation of canonical NF-kappaB signal transduction	经典NF-κB信号转导的调控
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	经典NF-κB信号转导的正调控
GO:0043124	negative regulation of canonical NF-kappaB signal transduction	经典NF-κB信号转导的负调控
GO:0043125	ErbB-3 class receptor binding	ErbB-3类受体结合
GO:0043129	surfactant homeostasis	表面活性物质稳态
GO:0043130	ubiquitin binding	泛素结合
GO:0043131	erythrocyte enucleation	红细胞去核
GO:0043132	NAD transport	NAD运输
GO:0043133	hindgut contraction	后肠收缩
GO:0043134	regulation of hindgut contraction	后肠收缩的调控
GO:0043135	5-phosphoribosyl 1-pyrophosphate pyrophosphatase activity	5-磷酸核糖基1-焦磷酸焦磷酸酶活性
GO:0043136	sn-glycerol 3-phosphatase activity	sn-甘油3-磷酸酶活性
GO:0043137	DNA replication, removal of RNA primer	DNA复制，RNA引物的去除
GO:0043138	3'-5' DNA helicase activity	3'-5' DNA解旋酶活性
GO:0043139	5'-3' DNA helicase activity	5'-3' DNA解旋酶活性
GO:0043143	regulation of translation by machinery localization	通过翻译机器定位对翻译的调控
GO:0043144	sno(s)RNA processing	sno(s)RNA加工
GO:0043145	sno(s)RNA 3'-end cleavage	sno(s)RNA 3'端切割
GO:0043149	stress fiber assembly	应力纤维组装
GO:0043150	DNA synthesis involved in double-strand break repair via homologous recombination	参与经同源重组修复双链断裂的DNA合成
GO:0043152	induction of bacterial agglutination	细菌凝集的诱导
GO:0043153	entrainment of circadian clock by photoperiod	光周期对生物钟的牵引
GO:0043155	negative regulation of photosynthesis, light reaction	光合作用光反应的负调控
GO:0043157	response to cation stress	对阳离子胁迫的响应
GO:0043158	heterocyst development	异形胞发育
GO:0043159	acrosomal matrix	顶体基质
GO:0043160	acrosomal lumen	顶体腔
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	蛋白酶体介导的泛素依赖蛋白分解代谢过程
GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	经多囊泡体分选途径的泛素依赖蛋白分解代谢过程
GO:0043163	cell envelope organization	细胞包膜组织
GO:0043164	Gram-negative-bacterium-type cell wall biogenesis	革兰氏阴性菌型细胞壁生物发生
GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly	革兰氏阴性菌型细胞外膜组装
GO:0043167	ion binding	离子结合
GO:0043168	anion binding	阴离子结合
GO:0043169	cation binding	阳离子结合
GO:0043170	macromolecule metabolic process	大分子代谢过程
GO:0043171	peptide catabolic process	肽分解代谢过程
GO:0043173	nucleotide salvage	核苷酸补救合成
GO:0043174	nucleoside salvage	核苷补救合成
GO:0043175	RNA polymerase core enzyme binding	RNA聚合酶核心酶结合
GO:0043176	amine binding	胺结合
GO:0043177	organic acid binding	有机酸结合
GO:0043178	alcohol binding	醇结合
GO:0043179	rhythmic excitation	节律性兴奋
GO:0043180	rhythmic inhibition	节律性抑制
GO:0043183	vascular endothelial growth factor receptor 1 binding	血管内皮生长因子受体1结合
GO:0043184	vascular endothelial growth factor receptor 2 binding	血管内皮生长因子受体2结合
GO:0043185	vascular endothelial growth factor receptor 3 binding	血管内皮生长因子受体3结合
GO:0043186	P granule	P颗粒
GO:0043188	cell septum edging	细胞隔膜边缘
GO:0043189	H4/H2A histone acetyltransferase complex	H4/H2A组蛋白乙酰转移酶复合体
GO:0043190	ATP-binding cassette (ABC) transporter complex	ATP结合盒（ABC）转运蛋白复合体
GO:0043194	axon initial segment	轴突起始段
GO:0043195	terminal bouton	末端扣结
GO:0043196	varicosity	串珠状膨大
GO:0043197	dendritic spine	树突棘
GO:0043198	dendritic shaft	树突干
GO:0043199	sulfate binding	硫酸根结合
GO:0043200	response to amino acid	对氨基酸的响应
GO:0043201	response to L-leucine	对L-亮氨酸的响应
GO:0043202	lysosomal lumen	溶酶体腔
GO:0043203	axon hillock	轴丘
GO:0043204	perikaryon	核周体
GO:0043207	response to external biotic stimulus	对外源生物刺激的响应
GO:0043208	glycosphingolipid binding	糖鞘脂结合
GO:0043209	myelin sheath	髓鞘
GO:0043210	alkanesulfonate binding	烷基磺酸结合
GO:0043211	ABC-type carbohydrate transporter activity	ABC型碳水化合物转运蛋白活性
GO:0043213	bacteriocin transport	细菌素运输
GO:0043214	ABC-type bacteriocin transporter activity	ABC型细菌素转运蛋白活性
GO:0043215	daunorubicin transport	柔红霉素运输
GO:0043217	myelin maintenance	髓鞘维持
GO:0043218	compact myelin	致密髓鞘
GO:0043219	lateral loop	髓鞘旁循环
GO:0043220	Schmidt-Lanterman incisure	施兰氏切迹
GO:0043221	SMC family protein binding	SMC家族蛋白结合
GO:0043223	cytoplasmic SCF ubiquitin ligase complex	细胞质SCF泛素连接酶复合体
GO:0043224	nuclear SCF ubiquitin ligase complex	核SCF泛素连接酶复合体
GO:0043226	organelle	细胞器
GO:0043227	membrane-bounded organelle	有膜包被的细胞器
GO:0043228	membraneless organelle	无膜细胞器
GO:0043229	intracellular organelle	胞内细胞器
GO:0043230	extracellular organelle	胞外细胞器
GO:0043231	intracellular membrane-bounded organelle	胞内有膜包被的细胞器
GO:0043232	intracellular membraneless organelle	胞内无膜细胞器
GO:0043233	organelle lumen	细胞器腔
GO:0043235	signaling receptor complex	信号受体复合体
GO:0043236	laminin binding	层粘连蛋白结合
GO:0043237	laminin-1 binding	层粘连蛋白-1结合
GO:0043240	Fanconi anaemia nuclear complex	范可尼贫血核复合体
GO:0043242	negative regulation of protein-containing complex disassembly	含蛋白复合体解体的负调控
GO:0043243	positive regulation of protein-containing complex disassembly	含蛋白复合体解体的正调控
GO:0043244	regulation of protein-containing complex disassembly	含蛋白复合体解体的调控
GO:0043245	extraorganismal space	机体外空间
GO:0043246	megasome	巨大吞噬体
GO:0043247	telomere maintenance in response to DNA damage	响应DNA损伤的端粒维持
GO:0043248	proteasome assembly	蛋白酶体组装
GO:0043249	erythrocyte maturation	红细胞成熟
GO:0043251	sodium-dependent organic anion transport	钠依赖的有机阴离子运输
GO:0043252	sodium-independent organic anion transport	钠非依赖的有机阴离子运输
GO:0043253	chloroplast ribosome	叶绿体核糖体
GO:0043254	regulation of protein-containing complex assembly	含蛋白复合体组装的调控
GO:0043255	regulation of carbohydrate biosynthetic process	碳水化合物生物合成过程的调控
GO:0043256	laminin trimer	层粘连蛋白三聚体
GO:0043257	laminin-411 trimer	层粘连蛋白-411三聚体
GO:0043258	laminin-421 trimer	层粘连蛋白-421三聚体
GO:0043259	laminin-511 trimer	层粘连蛋白-511三聚体
GO:0043260	laminin-521 trimer	层粘连蛋白-521三聚体
GO:0043261	laminin-213 trimer	层粘连蛋白-213三聚体
GO:0043262	ADP phosphatase activity	ADP磷酸酶活性
GO:0043263	cellulosome	纤维小体
GO:0043264	extracellular membraneless organelle	胞外无膜细胞器
GO:0043266	regulation of potassium ion transport	钾离子运输的调控
GO:0043267	negative regulation of potassium ion transport	钾离子运输的负调控
GO:0043268	positive regulation of potassium ion transport	钾离子运输的正调控
GO:0043269	regulation of monoatomic ion transport	单原子离子运输的调控
GO:0043270	positive regulation of monoatomic ion transport	单原子离子运输的正调控
GO:0043271	negative regulation of monoatomic ion transport	单原子离子运输的负调控
GO:0043273	CTPase activity	CTP酶活性
GO:0043274	phospholipase binding	磷脂酶结合
GO:0043276	anoikis	失巢凋亡
GO:0043277	apoptotic cell clearance	凋亡细胞的清除
GO:0043278	response to morphine	对吗啡的响应
GO:0043279	response to alkaloid	对生物碱的响应
GO:0043282	chordate pharyngeal muscle development	脊索动物咽肌发育
GO:0043286	regulation of poly(3-hydroxyalkanoate) biosynthetic process	聚（3-羟基烷酸酯）生物合成过程的调控
GO:0043287	poly(3-hydroxyalkanoate) binding	聚（3-羟基烷酸酯）结合
GO:0043289	apocarotenoid biosynthetic process	阿朴类胡萝卜素生物合成过程
GO:0043290	apocarotenoid catabolic process	阿朴类胡萝卜素分解代谢过程
GO:0043291	RAVE complex	RAVE复合体
GO:0043292	contractile muscle fiber	可收缩肌纤维
GO:0043293	apoptosome	凋亡小体
GO:0043294	mitochondrial glutamate synthase complex (NADH)	线粒体谷氨酸合酶复合体（NADH）
GO:0043295	glutathione binding	谷胱甘肽结合
GO:0043296	apical junction complex	顶端连接复合体
GO:0043297	apical junction assembly	顶端连接组装
GO:0043299	leukocyte degranulation	白细胞脱颗粒
GO:0043300	regulation of leukocyte degranulation	白细胞脱颗粒的调控
GO:0043301	negative regulation of leukocyte degranulation	白细胞脱颗粒的负调控
GO:0043302	positive regulation of leukocyte degranulation	白细胞脱颗粒的正调控
GO:0043303	mast cell degranulation	肥大细胞脱颗粒
GO:0043304	regulation of mast cell degranulation	肥大细胞脱颗粒的调控
GO:0043305	negative regulation of mast cell degranulation	肥大细胞脱颗粒的负调控
GO:0043306	positive regulation of mast cell degranulation	肥大细胞脱颗粒的正调控
GO:0043307	eosinophil activation	嗜酸性粒细胞活化
GO:0043308	eosinophil degranulation	嗜酸性粒细胞脱颗粒
GO:0043309	regulation of eosinophil degranulation	嗜酸性粒细胞脱颗粒的调控
GO:0043310	negative regulation of eosinophil degranulation	嗜酸性粒细胞脱颗粒的负调控
GO:0043311	positive regulation of eosinophil degranulation	嗜酸性粒细胞脱颗粒的正调控
GO:0043312	neutrophil degranulation	中性粒细胞脱颗粒
GO:0043313	regulation of neutrophil degranulation	中性粒细胞脱颗粒的调控
GO:0043314	negative regulation of neutrophil degranulation	中性粒细胞脱颗粒的负调控
GO:0043315	positive regulation of neutrophil degranulation	中性粒细胞脱颗粒的正调控
GO:0043316	cytotoxic T cell degranulation	细胞毒性T细胞脱颗粒
GO:0043317	regulation of cytotoxic T cell degranulation	细胞毒性T细胞脱颗粒的调控
GO:0043318	negative regulation of cytotoxic T cell degranulation	细胞毒性T细胞脱颗粒的负调控
GO:0043319	positive regulation of cytotoxic T cell degranulation	细胞毒性T细胞脱颗粒的正调控
GO:0043320	natural killer cell degranulation	自然杀伤细胞脱颗粒
GO:0043321	regulation of natural killer cell degranulation	自然杀伤细胞脱颗粒的调控
GO:0043322	negative regulation of natural killer cell degranulation	自然杀伤细胞脱颗粒的负调控
GO:0043323	positive regulation of natural killer cell degranulation	自然杀伤细胞脱颗粒的正调控
GO:0043324	pigment metabolic process involved in developmental pigmentation	参与发育期色素沉着的色素代谢过程
GO:0043325	phosphatidylinositol-3,4-bisphosphate binding	磷脂酰肌醇-3,4-二磷酸结合
GO:0043326	chemotaxis to folate	对叶酸的趋化性
GO:0043327	chemotaxis to cAMP	对cAMP的趋化性
GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	参与经多囊泡体分选途径的泛素依赖蛋白分解代谢过程的蛋白质向液泡转运
GO:0043330	response to exogenous dsRNA	对外源dsRNA的响应
GO:0043331	response to dsRNA	对dsRNA的响应
GO:0043332	mating projection tip	交配突起顶端
GO:0043335	protein unfolding	蛋白质解折叠
GO:0043336	site-specific telomere resolvase activity	位点特异性端粒解离酶活性
GO:0043337	cardiolipin synthase (CMP-forming) activity	心磷脂合酶（生成CMP型）活性
GO:0043338	CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase activity	CDP-2,3-双（O-香叶基香叶基）-sn-甘油合酶活性
GO:0043353	enucleate erythrocyte differentiation	无核红细胞分化
GO:0043354	enucleate erythrocyte maturation	无核红细胞成熟
GO:0043362	nucleate erythrocyte maturation	有核红细胞成熟
GO:0043363	nucleate erythrocyte differentiation	有核红细胞分化
GO:0043364	glycyl-radical enzyme activating activity	甘氨酰自由基酶激活活性
GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity	[甲酸-C-乙酰转移酶]-激活酶活性
GO:0043366	beta selection	β选择
GO:0043367	CD4-positive, alpha-beta T cell differentiation	CD4阳性α-β T细胞分化
GO:0043368	positive T cell selection	T细胞阳性选择
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	CD4阳性或CD8阳性α-β T细胞谱系定向
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	CD4阳性α-β T细胞分化的调控
GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	CD4阳性α-β T细胞分化的负调控
GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	CD4阳性α-β T细胞分化的正调控
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	CD4阳性α-β T细胞谱系定向
GO:0043374	CD8-positive, alpha-beta T cell differentiation	CD8阳性α-β T细胞分化
GO:0043375	CD8-positive, alpha-beta T cell lineage commitment	CD8阳性α-β T细胞谱系定向
GO:0043376	regulation of CD8-positive, alpha-beta T cell differentiation	CD8阳性α-β T细胞分化的调控
GO:0043377	negative regulation of CD8-positive, alpha-beta T cell differentiation	CD8阳性α-β T细胞分化的负调控
GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation	CD8阳性α-β T细胞分化的正调控
GO:0043379	memory T cell differentiation	记忆T细胞分化
GO:0043380	regulation of memory T cell differentiation	记忆T细胞分化的调控
GO:0043381	negative regulation of memory T cell differentiation	记忆T细胞分化的负调控
GO:0043382	positive regulation of memory T cell differentiation	记忆T细胞分化的正调控
GO:0043383	negative T cell selection	T细胞阴性选择
GO:0043384	pre-T cell receptor complex	前T细胞受体复合体
GO:0043385	mycotoxin metabolic process	真菌毒素代谢过程
GO:0043386	mycotoxin biosynthetic process	真菌毒素生物合成过程
GO:0043387	mycotoxin catabolic process	真菌毒素分解代谢过程
GO:0043388	positive regulation of DNA binding	DNA结合的正调控
GO:0043392	negative regulation of DNA binding	DNA结合的负调控
GO:0043393	regulation of protein binding	蛋白结合的调控
GO:0043394	proteoglycan binding	蛋白聚糖结合
GO:0043395	heparan sulfate proteoglycan binding	硫酸乙酰肝素蛋白聚糖结合
GO:0043396	corticotropin-releasing hormone secretion	促肾上腺皮质激素释放激素分泌
GO:0043397	regulation of corticotropin-releasing hormone secretion	促肾上腺皮质激素释放激素分泌的调控
GO:0043398	HLH domain binding	HLH结构域结合
GO:0043399	tRNA adenosine(64)-2'-O-ribosylphosphate transferase activity	tRNA腺苷(64)-2'-O-核糖基磷酸转移酶活性
GO:0043400	cortisol secretion	皮质醇分泌
GO:0043401	steroid hormone receptor signaling pathway	类固醇激素受体信号通路
GO:0043403	skeletal muscle tissue regeneration	骨骼肌组织再生
GO:0043404	corticotropin-releasing hormone receptor activity	促肾上腺皮质激素释放激素受体活性
GO:0043405	regulation of MAP kinase activity	MAP激酶活性的调控
GO:0043406	positive regulation of MAP kinase activity	MAP激酶活性的正调控
GO:0043407	negative regulation of MAP kinase activity	MAP激酶活性的负调控
GO:0043408	regulation of MAPK cascade	MAPK级联的调控
GO:0043409	negative regulation of MAPK cascade	MAPK级联的负调控
GO:0043410	positive regulation of MAPK cascade	MAPK级联的正调控
GO:0043412	macromolecule modification	大分子修饰
GO:0043414	macromolecule methylation	大分子甲基化
GO:0043415	positive regulation of skeletal muscle tissue regeneration	骨骼肌组织再生的正调控
GO:0043416	regulation of skeletal muscle tissue regeneration	骨骼肌组织再生的调控
GO:0043417	negative regulation of skeletal muscle tissue regeneration	骨骼肌组织再生的负调控
GO:0043418	L-homocysteine catabolic process	L-同型半胱氨酸分解代谢过程
GO:0043419	urea catabolic process	尿素分解代谢过程
GO:0043421	anthranilate catabolic process	邻氨基苯甲酸分解代谢过程
GO:0043422	protein kinase B binding	蛋白激酶B结合
GO:0043423	3-phosphoinositide-dependent protein kinase binding	3-磷酸肌醇依赖的蛋白激酶结合
GO:0043424	protein histidine kinase binding	蛋白组氨酸激酶结合
GO:0043425	bHLH transcription factor binding	bHLH转录因子结合
GO:0043426	MRF binding	MRF结合
GO:0043427	carbon fixation by 3-hydroxypropionate cycle	经3-羟基丙酸循环的碳固定
GO:0043434	response to peptide hormone	对肽类激素的响应
GO:0043435	response to corticotropin-releasing hormone	对促肾上腺皮质激素释放激素的响应
GO:0043436	oxoacid metabolic process	氧代酸代谢过程
GO:0043447	alkane biosynthetic process	烷烃生物合成过程
GO:0043448	alkane catabolic process	烷烃分解代谢过程
GO:0043450	alkene biosynthetic process	烯烃生物合成过程
GO:0043451	alkene catabolic process	烯烃分解代谢过程
GO:0043453	alkyne biosynthetic process	炔烃生物合成过程
GO:0043454	alkyne catabolic process	炔烃分解代谢过程
GO:0043455	regulation of secondary metabolic process	次生代谢过程的调控
GO:0043456	regulation of pentose-phosphate shunt	磷酸戊糖旁路的调控
GO:0043457	regulation of cellular respiration	细胞呼吸的调控
GO:0043461	proton-transporting ATP synthase complex assembly	质子转运ATP合酶复合体组装
GO:0043462	regulation of ATP-dependent activity	ATP依赖活性的调控
GO:0043463	regulation of rhamnose catabolic process	鼠李糖分解代谢过程的调控
GO:0043464	L-malate catabolic process	L-苹果酸分解代谢过程
GO:0043465	regulation of fermentation	发酵的调控
GO:0043467	regulation of generation of precursor metabolites and energy	前体代谢物与能量生成的调控
GO:0043468	regulation of L-fucose catabolic process	L-岩藻糖分解代谢过程的调控
GO:0043469	regulation of D-xylose catabolic process	D-木糖分解代谢过程的调控
GO:0043470	regulation of carbohydrate catabolic process	碳水化合物分解代谢过程的调控
GO:0043472	IgD binding	IgD结合
GO:0043473	pigmentation	色素沉着
GO:0043474	pigment metabolic process involved in pigmentation	参与色素沉着的色素代谢过程
GO:0043476	pigment accumulation	色素积累
GO:0043477	pigment biosynthetic process involved in pigment accumulation	参与色素积累的色素生物合成过程
GO:0043478	pigment accumulation in response to UV light	响应紫外光的色素积累
GO:0043479	pigment accumulation in tissues in response to UV light	响应紫外光的组织中色素积累
GO:0043480	pigment accumulation in tissues	组织中色素积累
GO:0043481	anthocyanin accumulation in tissues in response to UV light	响应紫外光的组织中花青素积累
GO:0043482	cellular pigment accumulation	细胞色素积累
GO:0043484	regulation of RNA splicing	RNA剪接的调控
GO:0043485	endosome to pigment granule transport	内体到色素颗粒的运输
GO:0043487	regulation of RNA stability	RNA稳定性的调控
GO:0043488	regulation of mRNA stability	mRNA稳定性的调控
GO:0043489	RNA stabilization	RNA稳定化
GO:0043490	malate-aspartate shuttle	苹果酸-天冬氨酸穿梭
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	磷脂酰肌醇3-激酶/蛋白激酶B信号转导
GO:0043493	viral terminase complex	病毒末端酶复合体
GO:0043494	CLRC complex	CLRC复合体
GO:0043495	protein-membrane adaptor activity	蛋白质-膜接头活性
GO:0043500	muscle adaptation	肌肉适应
GO:0043501	skeletal muscle adaptation	骨骼肌适应
GO:0043502	regulation of muscle adaptation	肌肉适应的调控
GO:0043503	skeletal muscle fiber adaptation	骨骼肌纤维适应
GO:0043504	mitochondrial DNA repair	线粒体DNA修复
GO:0043505	CENP-A containing nucleosome	含CENP-A的核小体
GO:0043506	regulation of JUN kinase activity	JUN激酶活性的调控
GO:0043507	positive regulation of JUN kinase activity	JUN激酶活性的正调控
GO:0043508	negative regulation of JUN kinase activity	JUN激酶活性的负调控
GO:0043509	activin A complex	激活素A复合体
GO:0043510	activin B complex	激活素B复合体
GO:0043511	inhibin complex	抑制素复合体
GO:0043512	inhibin A complex	抑制素A复合体
GO:0043513	inhibin B complex	抑制素B复合体
GO:0043514	interleukin-12 complex	白细胞介素-12复合体
GO:0043515	kinetochore binding	着丝粒结合
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	p53类介导的DNA损伤应答信号转导的调控
GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator	p53类介导的DNA损伤应答信号转导的正调控
GO:0043518	negative regulation of DNA damage response, signal transduction by p53 class mediator	p53类介导的DNA损伤应答信号转导的负调控
GO:0043519	regulation of myosin II filament organization	肌球蛋白II丝组织的调控
GO:0043520	regulation of myosin II filament assembly	肌球蛋白II丝组装的调控
GO:0043521	regulation of myosin II filament disassembly	肌球蛋白II丝解体的调控
GO:0043522	leucine zipper domain binding	亮氨酸拉链结构域结合
GO:0043523	regulation of neuron apoptotic process	神经元凋亡过程的调控
GO:0043524	negative regulation of neuron apoptotic process	神经元凋亡过程的负调控
GO:0043525	positive regulation of neuron apoptotic process	神经元凋亡过程的正调控
GO:0043527	tRNA methyltransferase complex	tRNA甲基转移酶复合体
GO:0043528	tRNA (m2G10) methyltransferase complex	tRNA(m2G10)甲基转移酶复合体
GO:0043529	GET complex	GET复合体
GO:0043530	adenosine 5'-monophosphoramidase activity	腺苷5'-单磷酸酰胺酶活性
GO:0043531	ADP binding	ADP结合
GO:0043532	angiostatin binding	血管生成抑素结合
GO:0043533	inositol 1,3,4,5 tetrakisphosphate binding	1,3,4,5-四磷酸肌醇结合
GO:0043534	blood vessel endothelial cell migration	血管内皮细胞迁移
GO:0043535	regulation of blood vessel endothelial cell migration	血管内皮细胞迁移的调控
GO:0043536	positive regulation of blood vessel endothelial cell migration	血管内皮细胞迁移的正调控
GO:0043537	negative regulation of blood vessel endothelial cell migration	血管内皮细胞迁移的负调控
GO:0043539	protein serine/threonine kinase activator activity	蛋白丝氨酸/苏氨酸激酶激活物活性
GO:0043540	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex	6-磷酸果糖-2-激酶/果糖-2,6-二磷酸酶复合体
GO:0043541	UDP-N-acetylglucosamine transferase complex	UDP-N-乙酰葡萄糖胺转移酶复合体
GO:0043542	endothelial cell migration	内皮细胞迁移
GO:0043543	protein acylation	蛋白质酰化
GO:0043544	lipoamide binding	硫辛酰胺结合
GO:0043545	molybdopterin cofactor metabolic process	钼蝶呤辅因子代谢过程
GO:0043546	molybdopterin cofactor binding	钼蝶呤辅因子结合
GO:0043547	positive regulation of GTPase activity	GTP酶活性的正调控
GO:0043548	phosphatidylinositol 3-kinase binding	磷脂酰肌醇3-激酶结合
GO:0043549	regulation of kinase activity	激酶活性的调控
GO:0043550	regulation of lipid kinase activity	脂质激酶活性的调控
GO:0043554	aerobic respiration, using arsenite as electron donor	好氧呼吸，以亚砷酸根为电子供体
GO:0043555	regulation of translation in response to stress	响应胁迫的翻译调控
GO:0043556	regulation of translation in response to oxidative stress	响应氧化胁迫的翻译调控
GO:0043557	regulation of translation in response to osmotic stress	响应渗透胁迫的翻译调控
GO:0043558	regulation of translational initiation in response to stress	响应胁迫的翻译起始调控
GO:0043559	insulin binding	胰岛素结合
GO:0043560	insulin receptor substrate binding	胰岛素受体底物结合
GO:0043561	regulation of translational initiation in response to osmotic stress	响应渗透胁迫的翻译起始调控
GO:0043562	cellular response to nitrogen levels	细胞对氮水平的响应
GO:0043564	Ku70:Ku80 complex	Ku70:Ku80复合体
GO:0043565	sequence-specific DNA binding	序列特异性DNA结合
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	胰岛素样生长因子受体信号通路的调控
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	胰岛素样生长因子受体信号通路的正调控
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway	胰岛素样生长因子受体信号通路的负调控
GO:0043570	maintenance of DNA repeat elements	DNA重复元件的维持
GO:0043571	maintenance of CRISPR repeat elements	CRISPR重复元件的维持
GO:0043572	plastid fission	质体分裂
GO:0043573	leucoplast fission	白色质体分裂
GO:0043574	peroxisomal transport	过氧化物酶体运输
GO:0043575	detection of osmotic stimulus	渗透刺激的检测
GO:0043576	regulation of respiratory gaseous exchange	呼吸气体交换的调控
GO:0043577	chemotropism	向化性
GO:0043578	nuclear matrix organization	核基质组织
GO:0043579	elaioplast organization	油质体组织
GO:0043580	periplasmic space organization	周质空间组织
GO:0043582	sporangium development	孢子囊发育
GO:0043583	ear development	耳发育
GO:0043584	nose development	鼻发育
GO:0043585	nose morphogenesis	鼻形态发生
GO:0043586	tongue development	舌发育
GO:0043587	tongue morphogenesis	舌形态发生
GO:0043588	skin development	皮肤发育
GO:0043589	skin morphogenesis	皮肤形态发生
GO:0043590	bacterial nucleoid	细菌类核
GO:0043591	endospore external encapsulating structure	芽孢外部包被结构
GO:0043592	exosporium	芽孢外衣
GO:0043593	endospore coat	芽孢衣
GO:0043594	outer endospore membrane	芽孢外膜
GO:0043595	endospore cortex	芽孢皮层
GO:0043596	nuclear replication fork	核复制叉
GO:0043597	cytoplasmic replication fork	细胞质复制叉
GO:0043598	cytoplasmic DNA replication factor C complex	细胞质DNA复制因子C复合体
GO:0043599	nuclear DNA replication factor C complex	核DNA复制因子C复合体
GO:0043600	cytoplasmic replisome	细胞质复制体
GO:0043601	nuclear replisome	核复制体
GO:0043602	nitrate catabolic process	硝酸盐分解代谢过程
GO:0043609	regulation of carbon utilization	碳利用的调控
GO:0043610	regulation of carbohydrate utilization	碳水化合物利用的调控
GO:0043613	isoprene catabolic process	异戊二烯分解代谢过程
GO:0043614	multi-eIF complex	多eIF复合体
GO:0043615	astrocyte cell migration	星形胶质细胞迁移
GO:0043616	keratinocyte proliferation	角质形成细胞增殖
GO:0043617	cellular response to sucrose starvation	细胞对蔗糖饥饿的响应
GO:0043622	cortical microtubule organization	皮层微管组织
GO:0043625	delta DNA polymerase complex	δ DNA聚合酶复合体
GO:0043626	PCNA complex	PCNA复合体
GO:0043627	response to estrogen	对雌激素的响应
GO:0043628	regulatory ncRNA 3'-end processing	调节性ncRNA 3'端加工
GO:0043632	modification-dependent macromolecule catabolic process	依赖修饰的大分子分解代谢过程
GO:0043633	polyadenylation-dependent RNA catabolic process	依赖多腺苷酸化的RNA分解代谢过程
GO:0043634	polyadenylation-dependent ncRNA catabolic process	依赖多腺苷酸化的ncRNA分解代谢过程
GO:0043635	methylnaphthalene catabolic process	甲基萘分解代谢过程
GO:0043636	bisphenol A catabolic process	双酚A分解代谢过程
